onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0617817637685	0.5	cue	Att	Val	CueFace2	Mas	1	0.59041843192972
10.5788885151087	2.53544242697171	Jitter1	Att	Val	CueFace2	Mas	1	0.59041843192972
13.0972241907402	0.5	target	Att	Val	Face	Mas	1	0.59041843192972
13.6141203344014	2.51820134208174	Jitter2	Att	Val	Face	Mas	1	0.59041843192972
16.1493592688166	0.5	cue	Att	Val	CueFace2	Fem	1	0.516925457970501
16.6663635623663	3.91973855048491	Jitter1	Att	Val	CueFace2	Fem	1	0.516925457970501
20.5690978193015	0.5	target	Att	Val	Face	Fem	1	0.516925457970501
21.0859717637723	3.21825501858257	Jitter2	Att	Val	Face	Fem	1	0.516925457970501
24.3216690829649	0.5	cue	Att	Val	CueFace2	Mas	1	0.577011260680592
24.8386932988651	5.32073586324259	Jitter1	Att	Val	CueFace2	Mas	1	0.577011260680592
30.1424049462075	0.5	target	Att	Val	Face	Mas	1	0.577011260680592
30.6592777522601	4.61834728751637	Jitter2	Att	Val	Face	Mas	1	0.577011260680592
35.29599515261	0.5	cue	Att	Val	CueName2	Fem	1	0.551393682111666
35.8129744009238	3.23582823748075	Jitter1	Att	Val	CueName2	Fem	1	0.551393682111666
39.0318233900907	0.5	target	Att	Val	Word	Fem	1	0.551393682111666
39.5487750317188	4.61835753329797	Jitter2	Att	Val	Word	Fem	1	0.551393682111666
44.1854813324753	0.5	cue	Att	Inval	CueName2	Fem	1	0.698280587494082
44.7024119133384	2.53540201306896	Jitter1	Att	Inval	CueName2	Fem	1	0.698280587494082
47.2208833455443	0.5	target	Att	Inval	Face	Fem	1	0.698280587494082
47.7377851813035	4.61835070277448	Jitter2	Att	Inval	Face	Fem	1	0.698280587494082
52.3746070316811	0.5	cue	Att	Inval	CueName2	Fem	1	0.616604935847135
52.891421209104	3.2357738779283	Jitter1	Att	Inval	CueName2	Fem	1	0.616604935847135
56.1103809096094	0.5	target	Att	Inval	Face	Fem	1	0.616604935847135
56.6272833145777	3.21833698481714	Jitter2	Att	Inval	Face	Fem	1	0.616604935847135
