onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0677994417711	0.5	cue	Att	Val	CueFace2	Fem	1	0.723034380847821
10.5847923490692	4.63690124666391	Jitter1	Att	Val	CueFace2	Fem	1	0.723034380847821
15.204700688435	0.5	target	Att	Val	Face	Fem	1	0.723034380847821
15.7216084981446	2.51849534937355	Jitter2	Att	Val	Face	Fem	1	0.723034380847821
18.2568504271803	0.5	cue	Att	Val	CueFace2	Mas	1	0.534595301192894
18.7738834641132	4.62028160187037	Jitter1	Att	Val	CueFace2	Mas	1	0.534595301192894
23.3771320290507	0.5	target	Att	Val	Face	Mas	1	0.534595301192894
23.8940051166683	4.61837003676919	Jitter2	Att	Val	Face	Mas	1	0.534595301192894
28.5307175263733	0.5	cue	Att	Inval	CueFace2	Mas	1	0.620036697266187
29.0477360483346	4.63693995326321	Jitter1	Att	Inval	CueFace2	Mas	1	0.620036697266187
33.6676574796365	0.5	target	Att	Inval	Word	Mas	1	0.620036697266187
34.1845570357327	4.61837174441462	Jitter2	Att	Inval	Word	Mas	1	0.620036697266187
38.8212685916151	0.5	cue	Att	Inval	CueName1	Mas	1	0.62954400498711
39.3383354968209	5.32079244356282	Jitter1	Att	Inval	CueName1	Mas	1	0.62954400498711
44.6420610351779	0.5	target	Att	Inval	Face	Mas	1	0.62954400498711
45.1589247307529	5.31830910233839	Jitter2	Att	Inval	Face	Mas	1	0.62954400498711
50.4961155369128	0.5	cue	Att	Val	CueFace2	Fem	1	0.675922760987305
51.0131238130089	2.53547658777461	Jitter1	Att	Val	CueFace2	Fem	1	0.675922760987305
53.5315921246875	0.5	target	Att	Val	Face	Fem	1	0.675922760987305
54.0484916807836	6.01838335639331	Jitter2	Att	Val	Face	Fem	1	0.675922760987305
60.0695144855163	0.5	cue	Att	Val	CueName1	Mas	1	0.641007418860681
60.5865768370022	4.63693113043337	Jitter1	Att	Val	CueName1	Mas	1	0.641007418860681
65.2064456159496	0.5	target	Att	Val	Word	Mas	1	0.641007418860681
65.7233386260777	3.9182986287924	Jitter2	Att	Val	Word	Mas	1	0.641007418860681
69.6595911388067	0.5	cue	Att	Val	CueName1	Mas	1	0.579872342230374
70.1765652620234	3.23593420789257	Jitter1	Att	Val	CueName1	Mas	1	0.579872342230374
73.3955253466993	0.5	target	Att	Val	Word	Mas	1	0.579872342230374
73.9124758475082	6.01832558110618	Jitter2	Att	Val	Word	Mas	1	0.579872342230374
79.9334701915068	0.5	cue	Att	Val	CueFace2	Mas	1	1.02106948033179
80.4505168895921	5.32077166722956	Jitter1	Att	Val	CueFace2	Mas	1	1.02106948033179
85.7542418587364	0.5	target	Att	Val	Face	Mas	1	1.02106948033179
86.2711471069779	5.31839106924963	Jitter2	Att	Val	Face	Mas	1	1.02106948033179
91.6082935143968	0.5	cue	Att	Val	CueName1	Mas	1	1.0985279255292
92.1253313896523	3.93642797314169	Jitter1	Att	Val	CueName1	Mas	1	1.0985279255292
96.0447214875385	0.5	target	Att	Val	Word	Mas	1	1.0985279255292
96.5616475121169	2.51836186854052	Jitter2	Att	Val	Word	Mas	1	1.0985279255292
99.0968347965463	0.5	cue	Att	Val	CueFace2	Mas	1	0.581066839175037
99.613915362901	6.02130043917714	Jitter1	Att	Val	CueFace2	Mas	1	0.581066839175037
105.618135235723	0.5	target	Att	Val	Face	Mas	1	0.581066839175037
106.135079759777	2.51824432571448	Jitter2	Att	Val	Face	Mas	1	0.581066839175037
108.670237729653	0.5	cue	Att	Val	CueName1	Mas	1	1.0994426534744
109.187301788785	5.33746132542001	Jitter1	Att	Val	CueName1	Mas	1	1.0994426534744
114.507699055073	0.5	target	Att	Val	Word	Mas	1	1.0994426534744
115.024599180386	5.31836488537738	Jitter2	Att	Val	Word	Mas	1	1.0994426534744
120.36173847262	0.5	cue	Att	Val	CueName1	Mas	1	0.739295705017867
120.878796554996	6.03798981276486	Jitter1	Att	Val	CueName1	Mas	1	0.739295705017867
126.899728285385	0.5	target	Att	Val	Word	Mas	1	0.739295705017867
127.416617026403	4.61838170566989	Jitter2	Att	Val	Word	Mas	1	0.739295705017867
132.053334559041	0.5	cue	Att	Inval	CueFace2	Fem	1	0.711709855353547
132.570438747807	6.03792776836781	Jitter1	Att	Inval	CueFace2	Fem	1	0.711709855353547
138.591262327409	0.5	target	Att	Inval	Word	Fem	1	0.711709855353547
139.108159037434	6.01837396434712	Jitter2	Att	Inval	Word	Fem	1	0.711709855353547
145.129224533262	0.5	cue	Att	Inval	CueName1	Fem	1	0.805456662415963
145.646220571245	4.62025997171804	Jitter1	Att	Inval	CueName1	Fem	1	0.805456662415963
150.249484504981	0.5	target	Att	Inval	Face	Fem	1	0.805456662415963
150.766348485162	5.31842749898715	Jitter2	Att	Inval	Face	Fem	1	0.805456662415963
156.103504853832	0.5	cue	Att	Val	CueName1	Fem	1	1.00384532957833
156.620578874223	2.53549651028879	Jitter1	Att	Val	CueName1	Fem	1	1.00384532957833
159.139001364121	0.5	target	Att	Val	Word	Fem	1	1.00384532957833
159.655910027654	3.21840424657057	Jitter2	Att	Val	Word	Fem	1	1.00384532957833
162.89163917597	0.5	cue	Att	Inval	CueFace2	Mas	1	1.11769110599562
163.408690712378	5.33745307180652	Jitter1	Att	Inval	CueFace2	Mas	1	1.11769110599562
168.729092247777	0.5	target	Att	Inval	Word	Mas	1	1.11769110599562
169.245968181469	3.91839738753333	Jitter2	Att	Inval	Word	Mas	1	1.11769110599562
173.182187679744	0.5	cue	Att	Inval	CueName1	Mas	1	0.455285485339118
173.699228685684	6.02125262514892	Jitter1	Att	Inval	CueName1	Mas	1	0.455285485339118
179.703440304893	0.5	target	Att	Inval	Face	Mas	1	0.455285485339118
180.220335307273	6.01836884141812	Jitter2	Att	Inval	Face	Mas	1	0.455285485339118
186.241357258183	0.5	cue	Att	Val	CueName1	Fem	0	0.564363519828476
186.758372364853	4.63693995326321	Jitter1	Att	Val	CueName1	Fem	0	0.564363519828476
191.378297211446	0.5	target	Att	Val	Word	Fem	0	0.564363519828476
191.89519050618	2.51840342120704	Jitter2	Att	Val	Word	Fem	0	0.564363519828476
194.430438981184	0.5	cue	Att	Inval	CueName1	Mas	1	0.000266107850620756
194.947453518642	3.93647180266998	Jitter1	Att	Inval	CueName1	Mas	1	0.000266107850620756
198.866910783854	0.5	target	Att	Inval	Face	Mas	1	0.000266107850620756
199.383958904979	3.21825995065228	Jitter2	Att	Inval	Face	Mas	1	0.000266107850620756
202.61950305853	0.5	cue	Att	Val	CueName1	Fem	0	0.000260415705270134
