onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0626355786953	0.5	cue	Exp	Val	CueName1	Fem	1	1.14758646441442
10.5796620714355	5.33739550016799	Jitter1	Exp	Val	CueName1	Fem	1	1.14758646441442
15.9000310788633	0.5	target	Exp	Val	Word	Fem	1	1.14758646441442
16.4169141306938	3.91846295097821	Jitter2	Exp	Val	Word	Fem	1	1.14758646441442
20.3531313093372	0.5	cue	Exp	Val	CueFace2	Mas	1	0.758311746045365
20.8701538176065	3.23603912976796	Jitter1	Exp	Val	CueFace2	Mas	1	0.758311746045365
24.0891704391051	0.5	target	Exp	Val	Face	Mas	1	0.758311746045365
24.605995146916	3.91835167043246	Jitter2	Exp	Val	Face	Mas	1	0.758311746045365
28.5421380436601	0.5	cue	Exp	Val	CueFace2	Mas	1	1.20935997463675
29.0592524793356	3.23593724118655	Jitter1	Exp	Val	CueFace2	Mas	1	1.20935997463675
32.2780752848466	0.5	target	Exp	Val	Face	Mas	1	1.20935997463675
32.7949711439014	6.0183732434889	Jitter2	Exp	Val	Face	Mas	1	1.20935997463675
38.8160028824786	0.5	cue	Exp	Val	CueName1	Fem	1	0.765381333669211
39.3329735926418	6.0377727725263	Jitter1	Exp	Val	CueName1	Fem	1	0.765381333669211
45.3537756550049	0.5	target	Exp	Val	Word	Fem	1	0.765381333669211
45.8707147740151	2.51843699500387	Jitter2	Exp	Val	Word	Fem	1	0.765381333669211
48.4059793228789	0.5	cue	Exp	Val	CueName1	Mas	1	1.43222701686682
48.922984470244	4.63686397191304	Jitter1	Exp	Val	CueName1	Mas	1	1.43222701686682
53.542843294792	0.5	target	Exp	Val	Word	Mas	1	1.43222701686682
54.0597451305512	4.6183541180344	Jitter2	Exp	Val	Word	Mas	1	1.43222701686682
58.69634584286	0.5	cue	Exp	Inval	CueFace2	Fem	0	NaN
59.2134531634129	6.03796573470026	Jitter1	Exp	Inval	CueFace2	Fem	0	NaN
65.2343115775602	0.5	target	Exp	Inval	Word	Fem	0	NaN
65.7512037367487	3.21819240548757	Jitter2	Exp	Inval	Word	Fem	0	NaN
68.9869215474992	0.5	cue	Exp	Inval	CueName1	Fem	1	0.760440875877975
69.5040314294965	2.53539888241357	Jitter1	Exp	Inval	CueName1	Fem	1	0.760440875877975
72.0223204299127	0.5	target	Exp	Inval	Face	Fem	1	0.760440875877975
72.5392530030094	2.51834791364672	Jitter2	Exp	Inval	Face	Fem	1	0.760440875877975
75.0744779917823	0.5	cue	Exp	Val	CueFace2	Mas	1	0.964038738153249
75.5915024922851	4.62023080325162	Jitter1	Exp	Val	CueFace2	Mas	1	0.964038738153249
80.1947087950339	0.5	target	Exp	Val	Face	Mas	1	0.964038738153249
80.7115944083089	3.21831507023126	Jitter2	Exp	Val	Face	Mas	1	0.964038738153249
83.9473144958993	0.5	cue	Exp	Val	CueName1	Mas	1	2.16679730035139
84.4643250507597	3.9364192481753	Jitter1	Exp	Val	CueName1	Mas	1	2.16679730035139
88.3837337440746	0.5	target	Exp	Val	Word	Mas	1	2.16679730035139
88.9006415565382	6.01834307536228	Jitter2	Exp	Val	Word	Mas	1	2.16679730035139
94.9216041361069	0.5	cue	Exp	Val	CueName1	Mas	1	1.79939732050116
95.4386775886669	5.33733146404848	Jitter1	Exp	Val	CueName1	Mas	1	1.79939732050116
100.758935600155	0.5	target	Exp	Val	Word	Mas	1	1.79939732050116
101.27588297271	3.91835280885243	Jitter2	Exp	Val	Word	Mas	1	1.79939732050116
105.212097020698	0.5	cue	Exp	Val	CueName1	Mas	0	NaN
105.729097898989	2.53543588106004	Jitter1	Exp	Val	CueName1	Mas	0	NaN
108.247532901758	0.5	target	Exp	Val	Word	Mas	0	NaN
108.764415668984	2.51816662027522	Jitter2	Exp	Val	Word	Mas	0	NaN
111.299653749586	0.5	cue	Exp	Inval	CueFace2	Fem	1	0.741198164183515
111.816675119435	5.33730841104443	Jitter1	Exp	Inval	CueFace2	Fem	1	0.741198164183515
117.13696216063	0.5	target	Exp	Inval	Word	Fem	1	0.741198164183515
117.653926040273	3.91837927711458	Jitter2	Exp	Inval	Word	Fem	1	0.741198164183515
121.590120735123	0.5	cue	Exp	Inval	CueFace2	Mas	1	1.17604383144317
122.107144097208	3.23586324389362	Jitter1	Exp	Inval	CueFace2	Mas	1	1.17604383144317
125.325983979017	0.5	target	Exp	Inval	Word	Mas	1	1.17604383144317
125.842941028141	2.51836299771094	Jitter2	Exp	Inval	Word	Mas	1	1.17604383144317
128.378172278222	0.5	cue	Exp	Val	CueFace2	Fem	1	0.786568751171217
128.895133027212	6.02120648603341	Jitter1	Exp	Val	CueFace2	Fem	1	0.786568751171217
134.899378764256	0.5	target	Exp	Val	Face	Fem	1	0.786568751171217
135.416258970037	2.51838605071316	Jitter2	Exp	Val	Face	Fem	1	0.786568751171217
137.951482535786	0.5	cue	Exp	Val	CueName1	Fem	1	0.685335899332131
138.468480568026	4.63694024604592	Jitter1	Exp	Val	CueName1	Fem	1	0.685335899332131
143.088422781831	0.5	target	Exp	Val	Word	Fem	1	0.685335899332131
143.605291034202	4.61839851641162	Jitter2	Exp	Val	Word	Fem	1	0.685335899332131
148.241973428141	0.5	cue	Exp	Val	CueName1	Fem	1	1.12178076195596
148.758970321962	6.03787579952586	Jitter1	Exp	Val	CueName1	Fem	1	1.12178076195596
154.779849227667	0.5	target	Exp	Val	Word	Fem	1	1.12178076195596
155.296745940537	2.51833596023607	Jitter2	Exp	Val	Word	Fem	1	1.12178076195596
157.831975198384	0.5	cue	Exp	Val	CueFace2	Fem	1	0.837623468753009
158.349005106382	3.23586751296898	Jitter1	Exp	Val	CueFace2	Fem	1	0.837623468753009
161.567842711353	0.5	target	Exp	Val	Face	Fem	1	0.837623468753009
162.084795206796	4.61835184119627	Jitter2	Exp	Val	Face	Fem	1	0.837623468753009
166.721475323895	0.5	cue	Exp	Val	CueName1	Fem	1	0.870485951614683
167.238468802456	5.33739521556163	Jitter1	Exp	Val	CueName1	Fem	1	0.870485951614683
172.558870539457	0.5	target	Exp	Val	Word	Fem	1	0.870485951614683
173.075762983251	6.01833937549782	Jitter2	Exp	Val	Word	Fem	1	0.870485951614683
179.096750892664	0.5	cue	Exp	Inval	CueName1	Mas	1	0.89226107839022
179.613777385403	4.62023564153606	Jitter1	Exp	Inval	CueName1	Mas	1	0.89226107839022
184.2169865342	0.5	target	Exp	Inval	Face	Mas	1	0.89226107839022
184.733865601562	3.21834267691338	Jitter2	Exp	Inval	Face	Mas	1	0.89226107839022
187.969572597322	0.5	cue	Exp	Val	CueFace2	Fem	1	0.858214069618043
188.486599659271	6.02120733984884	Jitter1	Exp	Val	CueFace2	Fem	1	0.858214069618043
194.49077993717	0.5	target	Exp	Val	Face	Fem	1	0.858214069618043
195.007667258076	2.51827647779646	Jitter2	Exp	Val	Face	Fem	1	0.858214069618043
197.542891108427	0.5	cue	Exp	Val	CueFace2	Mas	1	0.972781803040562
198.059936954305	6.02119908630448	Jitter1	Exp	Val	CueFace2	Mas	1	0.972781803040562
204.064090194732	0.5	target	Exp	Val	Face	Mas	1	0.972781803040562
204.580987476811	5.31830533674292	Jitter2	Exp	Val	Face	Mas	1	0.972781803040562
209.918154723788	0.5	cue	Exp	Val	CueName1	Mas	1	1.06970772776549
210.435151617608	4.63685344152873	Jitter1	Exp	Val	CueName1	Mas	1	1.06970772776549
215.055008165316	0.5	target	Exp	Val	Word	Mas	1	1.06970772776549
215.571962652997	4.61837261735673	Jitter2	Exp	Val	Word	Mas	1	1.06970772776549
220.208637362599	0.5	cue	Exp	Val	CueFace2	Fem	1	0.767206505386639
220.725728745274	5.32071736392209	Jitter1	Exp	Val	CueFace2	Fem	1	0.767206505386639
226.029354726521	0.5	target	Exp	Val	Face	Fem	1	0.767206505386639
226.546248308734	6.01835958245101	Jitter2	Exp	Val	Face	Fem	1	0.767206505386639
232.567230526047	0.5	cue	Exp	Inval	CueName1	Fem	1	1.01325149232616
233.084220304743	3.23592158791325	Jitter1	Exp	Inval	CueName1	Fem	1	1.01325149232616
236.30315211396	0.5	target	Exp	Inval	Face	Fem	1	1.01325149232616
