onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0626697312946	0.5	cue	Exp	Val	CueName2	Mas	1	0.673014496071119
10.5797204154551	3.23597110917763	Jitter1	Exp	Val	CueName2	Mas	1	0.673014496071119
13.7986408404722	0.5	target	Exp	Val	Word	Mas	1	0.673014496071119
14.3154940087807	3.91845697427561	Jitter2	Exp	Val	Word	Mas	1	0.673014496071119
18.25168813442	0.5	cue	Exp	Val	CueName2	Fem	1	0.617880535352015
18.7687146271601	6.03786697677424	Jitter1	Exp	Val	CueName2	Fem	1	0.617880535352015
24.7895551111942	0.5	target	Exp	Val	Word	Fem	1	0.617880535352015
25.3064518240644	3.21820777415269	Jitter2	Exp	Val	Word	Fem	1	0.617880535352015
28.5421494278598	0.5	cue	Exp	Val	CueFace1	Fem	1	0.617286280161352
29.0591716515228	3.23593183369303	Jitter1	Exp	Val	CueFace1	Fem	1	0.617286280161352
32.2780812615529	0.5	target	Exp	Val	Face	Fem	1	0.617286280161352
32.7949793974476	3.91837785409007	Jitter2	Exp	Val	Face	Fem	1	0.617286280161352
36.7311732384806	0.5	cue	Exp	Inval	CueFace1	Mas	1	1.26356697694064
37.2481960313562	3.93646136971438	Jitter1	Exp	Inval	CueFace1	Mas	1	1.26356697694064
41.1676346081949	0.5	target	Exp	Inval	Word	Mas	1	1.26356697694064
41.6844778153281	3.91840859142758	Jitter2	Exp	Inval	Word	Mas	1	1.26356697694064
45.620673933201	0.5	cue	Exp	Inval	CueName2	Fem	1	0.674172269114933
46.1376594428257	4.62025471007291	Jitter1	Exp	Inval	CueName2	Fem	1	0.674172269114933
50.7409286432739	0.5	target	Exp	Inval	Face	Fem	1	0.674172269114933
51.2577829500005	3.21823879609656	Jitter2	Exp	Inval	Face	Fem	1	0.674172269114933
54.4934859612913	0.5	cue	Exp	Val	CueFace1	Fem	0	0.540739210198808
55.0105229844157	5.32071508708032	Jitter1	Exp	Val	CueFace1	Fem	0	0.540739210198808
60.3142010483716	0.5	target	Exp	Val	Face	Fem	0	0.540739210198808
60.8310912153283	4.61837745564117	Jitter2	Exp	Val	Face	Fem	0	0.540739210198808
65.4677357568034	0.5	cue	Exp	Inval	CueFace1	Fem	1	0.658141609190352
65.9848006712127	4.63693398473697	Jitter1	Exp	Inval	CueFace1	Fem	1	0.658141609190352
70.6046697415404	0.5	target	Exp	Inval	Word	Fem	1	0.658141609190352
71.1215596238908	6.01835246732662	Jitter2	Exp	Inval	Word	Fem	1	0.658141609190352
77.1425600559196	0.5	cue	Exp	Inval	CueName2	Mas	1	0.532419068305899
77.6595541036913	3.91970610551653	Jitter1	Exp	Inval	CueName2	Mas	1	0.532419068305899
81.5622661614361	0.5	target	Exp	Inval	Face	Mas	1	0.532419068305899
82.0791588898355	2.51834791364672	Jitter2	Exp	Inval	Face	Mas	1	0.532419068305899
84.6145270349116	0.5	cue	Exp	Val	CueFace1	Fem	1	0.566985196557653
85.1314405394769	6.02106560657194	Jitter1	Exp	Val	CueFace1	Fem	1	0.566985196557653
91.1355926414835	0.5	target	Exp	Val	Face	Fem	1	0.566985196557653
91.6524674397697	3.21834552296423	Jitter2	Exp	Val	Face	Fem	1	0.566985196557653
94.8881212144006	0.5	cue	Exp	Inval	CueFace1	Mas	1	0.624835996379261
95.4051667756721	5.3374595362875	Jitter1	Exp	Inval	CueFace1	Mas	1	0.624835996379261
100.725580750688	0.5	target	Exp	Inval	Word	Mas	1	0.624835996379261
101.242449856873	5.31835485800912	Jitter2	Exp	Inval	Word	Mas	1	0.624835996379261
106.579605719649	0.5	cue	Exp	Val	CueFace1	Mas	1	0.575282854657416
107.096647865663	2.53539347491824	Jitter1	Exp	Val	CueFace1	Mas	1	0.575282854657416
109.614999194568	0.5	target	Exp	Val	Face	Mas	1	0.575282854657416
110.131935467529	5.31835485800912	Jitter2	Exp	Val	Face	Mas	1	0.575282854657416
115.469105560558	0.5	cue	Exp	Val	CueFace1	Mas	1	0.516961033594271
115.986161936817	3.91973997350578	Jitter1	Exp	Val	CueFace1	Mas	1	0.516961033594271
119.888845534064	0.5	target	Exp	Val	Face	Mas	1	0.516961033594271
120.405755054158	2.51824403283172	Jitter2	Exp	Val	Face	Mas	1	0.516961033594271
122.940957274532	0.5	cue	Exp	Val	CueFace1	Mas	1	0.557268213437055
123.458013366191	3.91973798127583	Jitter1	Exp	Val	CueFace1	Mas	1	0.557268213437055
127.360695255808	0.5	target	Exp	Val	Face	Mas	1	0.557268213437055
127.877587699601	2.51826566280943	Jitter2	Exp	Val	Face	Mas	1	0.557268213437055
130.412837449006	0.5	cue	Exp	Inval	CueName2	Fem	0	0.607867847666057
130.929874187525	6.02116322607617	Jitter1	Exp	Inval	CueName2	Fem	0	0.607867847666057
136.934000675083	0.5	target	Exp	Inval	Face	Fem	0	0.607867847666057
137.450895395719	4.6183546872453	Jitter2	Exp	Inval	Face	Fem	0	0.607867847666057
142.087567828483	0.5	cue	Exp	Val	CueName2	Fem	1	0.516994332374452
142.604621927905	5.3373388637774	Jitter1	Exp	Val	CueName2	Fem	1	0.516994332374452
147.92490669226	0.5	target	Exp	Val	Word	Fem	1	0.516994332374452
148.441854064815	2.51837210507074	Jitter2	Exp	Val	Word	Fem	1	0.516994332374452
150.977064823339	0.5	cue	Exp	Val	CueName2	Mas	1	0.52465077546367
151.494026710749	3.23589540425382	Jitter1	Exp	Val	CueName2	Mas	1	0.52465077546367
154.712960227593	0.5	target	Exp	Val	Word	Mas	1	0.52465077546367
155.229891662271	4.61835070277448	Jitter2	Exp	Val	Word	Mas	1	0.52465077546367
159.866531080857	0.5	cue	Exp	Val	CueFace1	Fem	0	0.879452146804397
160.383582618833	2.53549080981975	Jitter1	Exp	Val	CueFace1	Fem	0	0.879452146804397
162.902021890677	0.5	target	Exp	Val	Face	Fem	0	0.879452146804397
