onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0593430731933	0.5	cue	Att	Val	CueName2	Fem	0	0.732491690154347
10.5764197036497	3.23596988618192	Jitter1	Att	Val	CueName2	Fem	0	0.732491690154347
13.7953129593752	0.5	target	Att	Val	Word	Fem	0	0.732491690154347
14.3122262247616	6.01832193335395	Jitter2	Att	Val	Word	Fem	0	0.732491690154347
20.349892403894	0.5	cue	Att	Inval	CueFace2	Fem	1	0.668392530402343
20.8669937952582	5.33747850852888	Jitter1	Att	Inval	CueFace2	Fem	1	0.668392530402343
26.1873709124229	0.5	target	Att	Inval	Word	Fem	1	0.668392530402343
26.7042727934822	5.3183324923175	Jitter2	Att	Inval	Word	Fem	1	0.668392530402343
32.0414141836736	0.5	cue	Att	Inval	CueName2	Fem	1	0.662183234702752
32.5585221210258	3.23607291432745	Jitter1	Att	Inval	CueName2	Fem	1	0.662183234702752
35.7774870980011	0.5	target	Att	Inval	Face	Fem	1	0.662183234702752
36.2943610874645	5.31834046134463	Jitter2	Att	Inval	Face	Fem	1	0.662183234702752
41.6315804602855	0.5	cue	Att	Inval	CueName2	Fem	1	0.540568470598373
42.1486533908355	2.53551568005787	Jitter1	Att	Inval	CueName2	Fem	1	0.540568470598373
44.6670961403433	0.5	target	Att	Inval	Face	Fem	1	0.540568470598373
45.183954760967	6.0184090234452	Jitter2	Att	Inval	Face	Fem	1	0.540568470598373
51.2217142915688	0.5	cue	Att	Val	CueName2	Fem	1	0.574505429325654
51.7387650226847	2.53542659771301	Jitter1	Att	Val	CueName2	Fem	1	0.574505429325654
54.2571408892818	0.5	target	Att	Val	Word	Fem	1	0.574505429325654
54.7740407780839	3.91831262666892	Jitter2	Att	Val	Word	Fem	1	0.574505429325654
58.7102282187261	0.5	cue	Att	Inval	CueFace2	Fem	1	0.517001209300361
59.2273005800598	2.53549177297464	Jitter1	Att	Inval	CueFace2	Fem	1	0.517001209300361
61.7457199917008	0.5	target	Att	Inval	Word	Fem	1	0.517001209300361
62.2626218727619	6.01843719964927	Jitter2	Att	Inval	Word	Fem	1	0.517001209300361
68.3004212485012	0.5	cue	Att	Val	CueFace2	Mas	1	0.489989335732389
68.8174287191814	6.02121710961728	Jitter1	Att	Val	CueFace2	Mas	1	0.489989335732389
74.8216383581184	0.5	target	Att	Val	Face	Mas	1	0.489989335732389
75.3385257241644	3.21845865910291	Jitter2	Att	Val	Face	Mas	1	0.489989335732389
78.5742074446098	0.5	cue	Att	Inval	CueFace2	Mas	1	0.663405626646636
79.0912618756302	6.03793072239387	Jitter1	Att	Inval	CueFace2	Mas	1	0.663405626646636
85.1121381670037	0.5	target	Att	Inval	Word	Mas	1	0.663405626646636
85.6291043695037	2.51845697991484	Jitter2	Att	Inval	Word	Mas	1	0.663405626646636
88.1643475372712	0.5	cue	Att	Inval	CueFace2	Mas	1	0.725702078465474
88.6813131705549	5.33748903902961	Jitter1	Att	Inval	CueFace2	Mas	1	0.725702078465474
94.0018365763008	0.5	target	Att	Inval	Word	Mas	1	0.725702078465474
94.5187025967371	6.01860540305643	Jitter2	Att	Inval	Word	Mas	1	0.725702078465474
100.556414597779	0.5	cue	Att	Inval	CueName2	Fem	1	0.546809073193799
101.073444552501	4.62028137498783	Jitter1	Att	Inval	CueName2	Fem	1	0.546809073193799
105.676695972767	0.5	target	Att	Inval	Face	Fem	1	0.546809073193799
106.193589600191	2.51826686167988	Jitter2	Att	Inval	Face	Fem	1	0.546809073193799
108.728801461064	0.5	cue	Att	Inval	CueName2	Mas	1	0.635184453110924
109.245899152522	2.53552934124855	Jitter1	Att	Inval	CueName2	Mas	1	0.635184453110924
111.764330802313	0.5	target	Att	Inval	Face	Mas	1	0.635184453110924
112.281258867322	4.61831800576147	Jitter2	Att	Inval	Face	Mas	1	0.635184453110924
116.917981342798	0.5	cue	Att	Val	CueName2	Fem	1	0.64051288662813
117.434983121315	4.63693806613992	Jitter1	Att	Val	CueName2	Fem	1	0.64051288662813
122.054919408938	0.5	target	Att	Val	Word	Fem	1	0.64051288662813
122.571789129279	5.31846085058532	Jitter2	Att	Val	Word	Fem	1	0.64051288662813
127.90900224072	0.5	cue	Att	Val	CueFace2	Mas	1	0.645669701443694
128.426040733686	5.32079051048095	Jitter1	Att	Val	CueFace2	Mas	1	0.645669701443694
133.729792751201	0.5	target	Att	Val	Face	Mas	1	0.645669701443694
134.246677555773	3.91837040212158	Jitter2	Att	Val	Face	Mas	1	0.645669701443694
138.18289174958	0.5	cue	Att	Val	CueFace2	Fem	1	0.387672426282734
138.699962118657	5.32083832464741	Jitter1	Att	Val	CueFace2	Fem	1	0.387672426282734
144.003730074228	0.5	target	Att	Val	Face	Fem	1	0.387672426282734
144.520680338672	3.21835705399826	Jitter2	Att	Val	Face	Fem	1	0.387672426282734
147.756321360153	0.5	cue	Att	Val	CueName2	Fem	1	0.574611303552956
