onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0524696373759	0.5	cue	Exp	Val	CueFace1	Mas	1	0.779317756394448
10.5694892977663	3.23595555344582	Jitter1	Exp	Val	CueFace1	Mas	1	0.779317756394448
13.7884251908217	0.5	target	Exp	Val	Face	Mas	1	0.779317756394448
14.3053515000065	3.91848646962535	Jitter2	Exp	Val	Face	Mas	1	0.779317756394448
18.2415946206929	0.5	cue	Exp	Val	CueName1	Mas	1	0.796225423800934
18.7585912278882	6.03787084690339	Jitter1	Exp	Val	CueName1	Mas	1	0.796225423800934
24.7794654675963	0.5	target	Exp	Val	Word	Mas	1	0.796225423800934
25.2964082840081	5.31840786107932	Jitter2	Exp	Val	Word	Mas	1	0.796225423800934
30.6336044977033	0.5	cue	Exp	Val	CueName1	Fem	1	0.650573924904165
31.1506415191398	2.53545837290585	Jitter1	Exp	Val	CueName1	Fem	1	0.650573924904165
33.6690628706092	0.5	target	Exp	Val	Word	Fem	1	0.650573924904165
34.1859943027303	3.9183919799907	Jitter2	Exp	Val	Word	Fem	1	0.650573924904165
38.1221990014237	0.5	cue	Exp	Val	CueName1	Mas	1	0.520976556039386
38.639234030612	3.93638926654967	Jitter1	Exp	Val	CueName1	Mas	1	0.520976556039386
42.5585882679734	0.5	target	Exp	Val	Word	Mas	1	0.520976556039386
43.0755646680482	4.61840532807764	Jitter2	Exp	Val	Word	Mas	1	0.520976556039386
47.712279070005	0.5	cue	Exp	Val	CueName1	Mas	1	0.599281992635952
48.2292486395054	3.2359509997259	Jitter1	Exp	Val	CueName1	Mas	1	0.599281992635952
51.4482300697309	0.5	target	Exp	Val	Word	Mas	1	0.599281992635952
51.9651589403838	6.01839445607766	Jitter2	Exp	Val	Word	Mas	1	0.599281992635952
58.002845504041	0.5	cue	Exp	Val	CueName1	Fem	1	0.516978107720206
58.5198088121797	5.33743855683861	Jitter1	Exp	Val	CueName1	Fem	1	0.516978107720206
63.8402840608796	0.5	target	Exp	Val	Word	Fem	1	0.516978107720206
64.3571989857737	3.21842160761298	Jitter2	Exp	Val	Word	Fem	1	0.516978107720206
67.5929679791116	0.5	cue	Exp	Val	CueFace1	Fem	1	0.686217861784826
68.1099560480907	4.62021386533161	Jitter1	Exp	Val	CueFace1	Fem	1	0.686217861784826
72.7131818444432	0.5	target	Exp	Val	Face	Fem	1	0.686217861784826
73.2301001846245	3.21840196970879	Jitter2	Exp	Val	Face	Fem	1	0.686217861784826
76.4657897725192	0.5	cue	Exp	Inval	CueFace1	Mas	1	0.781589492071362
76.9828481395052	3.23599454464784	Jitter1	Exp	Inval	CueFace1	Mas	1	0.781589492071362
80.201784317167	0.5	target	Exp	Inval	Word	Mas	1	0.781589492071362
80.7187063572455	2.51833796152278	Jitter2	Exp	Inval	Word	Mas	1	0.781589492071362
83.253927225338	0.5	cue	Exp	Val	CueFace1	Fem	0	0.748912301954988
83.7709485933701	3.93645728769479	Jitter1	Exp	Val	CueFace1	Fem	0	0.748912301954988
87.6903845130328	0.5	target	Exp	Val	Face	Fem	0	0.748912301954988
88.2072974456751	3.91842613287372	Jitter2	Exp	Val	Face	Fem	0	0.748912301954988
92.1435226360991	0.5	cue	Exp	Val	CueName1	Fem	1	0.634288978326367
92.6605514039256	5.33742233421799	Jitter1	Exp	Val	CueName1	Fem	1	0.634288978326367
97.9809449703171	0.5	target	Exp	Val	Word	Fem	1	0.634288978326367
98.4978675796083	3.91839795674969	Jitter2	Exp	Val	Word	Fem	1	0.634288978326367
102.434075978203	0.5	cue	Exp	Val	CueFace1	Fem	1	0.667833366962441
102.951112715029	6.02125860190063	Jitter1	Exp	Val	CueFace1	Fem	1	0.667833366962441
108.955334580103	0.5	target	Exp	Val	Face	Fem	1	0.667833366962441
109.472245235884	5.31841070715745	Jitter2	Exp	Val	Face	Fem	1	0.667833366962441
114.80945795681	0.5	cue	Exp	Val	CueName1	Mas	1	0.680184186476254
115.326474771126	5.33742603411156	Jitter1	Exp	Val	CueName1	Mas	1	0.680184186476254
120.646883990921	0.5	target	Exp	Val	Word	Mas	1	0.680184186476254
121.163806315606	3.21839314688259	Jitter2	Exp	Val	Word	Mas	1	0.680184186476254
124.399510418476	0.5	cue	Exp	Val	CueName1	Fem	1	1.03059614135054
124.91654658609	4.63695987577375	Jitter1	Exp	Val	CueName1	Fem	1	1.03059614135054
