onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0928141488548	0.5	cue	Exp	Val	CueFace2	Fem	1	0.581389583884629
10.6099288680907	5.33751682384991	Jitter1	Exp	Val	CueFace2	Fem	1	0.581389583884629
15.9303309727047	0.5	target	Exp	Val	Face	Fem	1	0.581389583884629
16.4472342286981	3.91883255213361	Jitter2	Exp	Val	Face	Fem	1	0.581389583884629
20.3834121743057	0.5	cue	Exp	Inval	CueName2	Mas	1	0.788759604430197
20.9005029865266	2.53550561772136	Jitter1	Exp	Inval	CueName2	Mas	1	0.788759604430197
23.4189177920271	0.5	target	Exp	Inval	Face	Mas	1	0.788759604430197
23.9358278785967	3.91845288596051	Jitter2	Exp	Inval	Face	Mas	1	0.788759604430197
27.8720416847273	0.5	cue	Exp	Val	CueName2	Mas	1	0.783706685967445
28.389105174645	3.23595754569396	Jitter1	Exp	Val	CueName2	Mas	1	0.783706685967445
31.6079992304212	0.5	target	Exp	Val	Word	Mas	1	0.783706685967445
32.1249059017027	4.61845883425394	Jitter2	Exp	Val	Word	Mas	1	0.783706685967445
36.7616351032393	0.5	cue	Exp	Val	CueFace2	Mas	1	0.681184012012636
37.2786795244665	5.32074121424375	Jitter1	Exp	Val	CueFace2	Mas	1	0.681184012012636
42.5823763174831	0.5	target	Exp	Val	Face	Mas	1	0.681184012012636
43.0992644892876	5.31859541730955	Jitter2	Exp	Val	Face	Mas	1	0.681184012012636
48.436432811468	0.5	cue	Exp	Inval	CueFace2	Fem	1	1.20312311002999
48.9534945937412	3.23602129773462	Jitter1	Exp	Inval	CueFace2	Fem	1	1.20312311002999
52.1724541092026	0.5	target	Exp	Inval	Word	Fem	1	1.20312311002999
52.6893229277093	3.91838828009804	Jitter2	Exp	Inval	Word	Fem	1	1.20312311002999
56.6255276264055	0.5	cue	Exp	Val	CueFace2	Fem	1	0.553126937998059
57.1425569634448	5.32078390534207	Jitter1	Exp	Val	CueFace2	Fem	1	0.553126937998059
62.4463115317476	0.5	target	Exp	Val	Face	Fem	1	0.553126937998059
