onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0550447514124	0.5	cue	Att	Inval	CueFace1	Fem	1	0.815687015601725
10.5720516548117	4.63691929035303	Jitter1	Att	Inval	CueFace1	Fem	1	0.815687015601725
15.1919640417655	0.5	target	Att	Inval	Word	Fem	1	0.815687015601725
15.7088636487824	2.51858305024507	Jitter2	Att	Inval	Word	Fem	1	0.815687015601725
18.2440634078921	0.5	cue	Att	Val	CueFace1	Fem	1	0.454751095161555
18.7610853953956	5.32072596105718	Jitter1	Att	Val	CueFace1	Fem	1	0.454751095161555
24.0647893689493	0.5	target	Att	Val	Face	Fem	1	0.454751095161555
24.5817572813539	2.51827852205315	Jitter2	Att	Val	Face	Fem	1	0.454751095161555
27.1168557208039	0.5	cue	Att	Val	CueName2	Fem	1	0.562601035055195
27.6339423138215	3.23604321681887	Jitter1	Att	Val	CueName2	Fem	1	0.562601035055195
30.8528989376227	0.5	target	Att	Val	Word	Fem	1	0.562601035055195
31.3697433311172	2.51843533984174	Jitter2	Att	Val	Word	Fem	1	0.562601035055195
33.9049721200172	0.5	cue	Att	Val	CueName2	Mas	1	0.57449812615414
34.4220256987628	3.23592937450485	Jitter1	Att	Val	CueName2	Mas	1	0.57449812615414
37.640901494522	0.5	target	Att	Val	Word	Mas	1	0.57449812615414
38.1578025245672	6.01839122594538	Jitter2	Att	Val	Word	Mas	1	0.57449812615414
44.1788169620486	0.5	cue	Att	Val	CueName2	Fem	1	0.615089457289287
44.6957640982309	5.33736828444307	Jitter1	Att	Val	CueName2	Fem	1	0.615089457289287
50.0161852464917	0.5	target	Att	Val	Word	Fem	1	0.615089457289287
50.533094530103	3.91835485332558	Jitter2	Att	Val	Word	Fem	1	0.615089457289287
54.4692839204563	0.5	cue	Att	Inval	CueName2	Fem	1	0.669099666671173
54.9862612248508	5.32072055354547	Jitter1	Att	Inval	CueName2	Fem	1	0.669099666671173
60.2900044740018	0.5	target	Att	Inval	Face	Fem	1	0.669099666671173
60.806904934836	5.3185060359192	Jitter2	Att	Inval	Face	Fem	1	0.669099666671173
66.144079687343	0.5	cue	Att	Inval	CueName2	Mas	1	0.591004977186458
66.6610734988753	3.23594246637003	Jitter1	Att	Inval	CueName2	Mas	1	0.591004977186458
69.8800221537131	0.5	target	Att	Inval	Face	Mas	1	0.591004977186458
70.3969154994029	3.21839139670919	Jitter2	Att	Inval	Face	Mas	1	0.591004977186458
73.6326302811449	0.5	cue	Att	Val	CueName2	Mas	1	0.800980011566935
74.1496687757844	5.33732473975579	Jitter1	Att	Val	CueName2	Mas	1	0.800980011566935
79.4699550209007	0.5	target	Att	Val	Word	Mas	1	0.800980011566935
79.9869269177871	5.31839304742243	Jitter2	Att	Val	Word	Mas	1	0.800980011566935
85.3241181774301	0.5	cue	Att	Inval	CueFace1	Mas	1	0.576787210498878
85.8411353266365	6.03787277665833	Jitter1	Att	Inval	CueFace1	Mas	1	0.576787210498878
91.8619909540885	0.5	target	Att	Inval	Word	Mas	1	0.576787210498878
92.3788882842582	2.51841854810118	Jitter2	Att	Inval	Word	Mas	1	0.576787210498878
94.9141162193409	0.5	cue	Att	Val	CueFace1	Fem	1	0.537164108249272
95.4311142999595	2.53543313585578	Jitter1	Att	Val	CueFace1	Fem	1	0.537164108249272
97.9495493551967	0.5	target	Att	Val	Face	Fem	1	0.537164108249272
98.4664603464444	3.91840095946282	Jitter2	Att	Val	Face	Fem	1	0.537164108249272
102.402658559575	0.5	cue	Att	Val	CueFace1	Fem	1	0.499699456287999
102.919682539321	4.62026672116008	Jitter1	Att	Val	CueFace1	Fem	1	0.499699456287999
107.522925280735	0.5	target	Att	Val	Face	Fem	1	0.499699456287999
108.039793011903	5.31836430223666	Jitter2	Att	Val	Face	Fem	1	0.499699456287999
113.376968049015	0.5	cue	Att	Val	CueName2	Mas	1	0.516942297883361
113.893999143906	3.93645179688792	Jitter1	Att	Val	CueName2	Mas	1	0.516942297883361
117.813419845903	0.5	target	Att	Val	Word	Mas	1	0.516942297883361
118.330294692216	2.51835764246243	Jitter2	Att	Val	Word	Mas	1	0.516942297883361
120.865464852322	0.5	cue	Att	Val	CueName2	Fem	1	0.544462254441896
121.382544045591	3.93647769601375	Jitter1	Att	Val	CueName2	Fem	1	0.544462254441896
125.301942548336	0.5	target	Att	Val	Word	Fem	1	0.544462254441896
125.818839593901	5.31835291800599	Jitter2	Att	Val	Word	Fem	1	0.544462254441896
131.155965678818	0.5	cue	Att	Inval	CueFace1	Mas	1	0.58628678245077
131.673050564203	3.23597804209567	Jitter1	Att	Inval	CueFace1	Mas	1	0.58628678245077
134.891943720913	0.5	target	Att	Inval	Word	Mas	1	0.58628678245077
135.408852435314	3.21828011584694	Jitter2	Att	Inval	Word	Mas	1	0.58628678245077
138.644561524939	0.5	cue	Att	Inval	CueFace1	Fem	1	0.623663206619312
