onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.0558457577627	0.5	cue	Exp	Inval	CueFace2	Mas	1	0.475319341014256
10.572863712352	3.93640729476829	Jitter1	Exp	Inval	CueFace2	Mas	1	0.475319341014256
14.4922530525309	0.5	target	Exp	Inval	Word	Mas	1	0.475319341014256
15.0091306968661	5.31846556934397	Jitter2	Exp	Inval	Word	Mas	1	0.475319341014256
20.3463076204116	0.5	cue	Exp	Val	CueName1	Mas	1	0.749215486381217
20.863327851841	3.23592642619769	Jitter1	Exp	Val	CueName1	Mas	1	0.749215486381217
24.0822340466093	0.5	target	Exp	Val	Word	Mas	1	0.749215486381217
24.5991099833154	3.91838468460992	Jitter2	Exp	Val	Word	Mas	1	0.749215486381217
28.5354079897716	0.5	cue	Exp	Inval	CueName1	Fem	1	0.700606663967847
29.0523960608389	2.5353442382584	Jitter1	Exp	Inval	CueName1	Fem	1	0.700606663967847
31.57075222803	0.5	target	Exp	Inval	Face	Fem	1	0.700606663967847
32.0876318646006	6.01832713748263	Jitter2	Exp	Inval	Face	Fem	1	0.700606663967847
38.10864652688	0.5	cue	Exp	Val	CueFace2	Mas	1	1.23914189322568
38.6256530972696	2.53540485911799	Jitter1	Exp	Val	CueFace2	Mas	1	1.23914189322568
41.144051385998	0.5	target	Exp	Val	Face	Mas	1	1.23914189322568
41.660933014804	2.51833396800066	Jitter2	Exp	Val	Face	Mas	1	1.23914189322568
44.1961762182946	0.5	cue	Exp	Val	CueFace2	Mas	1	0.626965980029127
44.7131984419575	3.23591504199794	Jitter1	Exp	Val	CueFace2	Mas	1	0.626965980029127
47.9320912602925	0.5	target	Exp	Val	Face	Mas	1	0.626965980029127
48.4489982189425	3.91839236894339	Jitter2	Exp	Val	Face	Mas	1	0.626965980029127
52.3852626420103	0.5	cue	Exp	Val	CueName1	Fem	1	1.05285171340802
52.9022908423794	4.63680733552246	Jitter1	Exp	Val	CueName1	Fem	1	1.05285171340802
57.5220699775327	0.5	target	Exp	Val	Word	Fem	1	1.05285171340802
58.0389490448943	2.51842105712421	Jitter2	Exp	Val	Word	Fem	1	1.05285171340802
60.5741831410251	0.5	cue	Exp	Val	CueName1	Fem	1	0.531338423208581
61.0912082107388	5.33737785465928	Jitter1	Exp	Val	CueName1	Fem	1	0.531338423208581
66.4115609956843	0.5	target	Exp	Val	Word	Fem	1	0.531338423208581
66.9284315248951	4.61832338069871	Jitter2	Exp	Val	Word	Fem	1	0.531338423208581
71.5652286146396	0.5	cue	Exp	Inval	CueFace2	Mas	1	0.566129673996329
72.0822693376267	2.53534566128292	Jitter1	Exp	Inval	CueFace2	Mas	1	0.566129673996329
74.6005742759226	0.5	target	Exp	Inval	Word	Mas	1	0.566129673996329
75.11743029028	4.61833561871026	Jitter2	Exp	Inval	Word	Mas	1	0.566129673996329
79.7541439907654	0.5	cue	Exp	Val	CueFace2	Fem	1	1.15650826122874
80.2711707681083	3.23594065644647	Jitter1	Exp	Val	CueFace2	Fem	1	1.15650826122874
83.4900846472119	0.5	target	Exp	Val	Face	Fem	1	1.15650826122874
