onset	duration	section	btype	validity	stim	gender	accuracy	reaction_time
10.062949838386	0.5	cue	Att	Inval	CueName2	Fem	1	0.74927702829882
10.5799333053092	2.53545457210384	Jitter1	Att	Inval	CueName2	Fem	1	0.74927702829882
13.0984044104898	0.5	target	Att	Inval	Face	Fem	1	0.74927702829882
13.6153107490463	3.21837687196421	Jitter2	Att	Inval	Face	Fem	1	0.74927702829882
16.8509492908033	0.5	cue	Att	Inval	CueName2	Fem	1	0.732646331152864
17.3680964064733	3.23604595598226	Jitter1	Att	Inval	CueName2	Fem	1	0.732646331152864
20.5869952467856	0.5	target	Att	Inval	Face	Fem	1	0.732646331152864
21.1038734092981	3.91825759337371	Jitter2	Att	Inval	Face	Fem	1	0.732646331152864
25.0400307602722	0.5	cue	Att	Inval	CueFace2	Fem	1	0.730097395196935
25.5570976169038	5.33743418118502	Jitter1	Att	Inval	CueFace2	Fem	1	0.730097395196935
30.8774649414572	0.5	target	Att	Inval	Word	Fem	1	0.730097395196935
31.3943818104563	5.31828599710207	Jitter2	Att	Inval	Word	Fem	1	0.730097395196935
36.7315779182918	0.5	cue	Att	Val	CueFace2	Mas	1	0.634669115041106
37.248620298762	6.02122410400807	Jitter1	Att	Val	CueFace2	Mas	1	0.634669115041106
43.2528020222999	0.5	target	Att	Val	Face	Mas	1	0.634669115041106
43.7697043763656	5.31836170243696	Jitter2	Att	Val	Face	Mas	1	0.634669115041106
49.1068555163711	0.5	cue	Att	Val	CueName2	Mas	1	0.55904631771773
49.6238904970742	5.33744414241482	Jitter1	Att	Val	CueName2	Mas	1	0.55904631771773
54.9442996587859	0.5	target	Att	Val	Word	Mas	1	0.55904631771773
55.4612065665551	3.2183649184899	Jitter2	Att	Val	Word	Mas	1	0.55904631771773
58.6969228058897	0.5	cue	Att	Val	CueName2	Fem	1	0.67287924743141
59.2139267644816	5.33740657435374	Jitter1	Att	Val	CueName2	Fem	1	0.67287924743141
64.5343293802434	0.5	target	Att	Val	Word	Fem	1	0.67287924743141
65.0512348649809	4.61828545635035	Jitter2	Att	Val	Word	Fem	1	0.67287924743141
69.6879263939245	0.5	cue	Att	Inval	CueName2	Mas	1	0.695294572013154
70.2049593823813	3.23594378224334	Jitter1	Att	Inval	CueName2	Mas	1	0.695294572013154
73.4238701761678	0.5	target	Att	Inval	Face	Mas	1	0.695294572013154
73.9407648458582	3.21837089522705	Jitter2	Att	Inval	Face	Mas	1	0.695294572013154
77.1764924694544	0.5	cue	Att	Val	CueName2	Mas	1	0.706064367179351
77.6934901667028	3.93652748174645	Jitter1	Att	Val	CueName2	Mas	1	0.706064367179351
81.6130199512008	0.5	target	Att	Val	Word	Mas	1	0.706064367179351
82.1298318003956	4.61829342533201	Jitter2	Att	Val	Word	Mas	1	0.706064367179351
86.7665298752872	0.5	cue	Att	Inval	CueName2	Mas	1	0.637002888472125
87.2835500564506	2.53544774154761	Jitter1	Att	Inval	CueName2	Mas	1	0.637002888472125
